Date,Views,Watch time (hours),Subscribers gained,Subscribers lost
2025-11-25,35,1.4333,0,0
2025-11-26,48,1.9333,2,0
2025-11-27,62,2.1333,1,0
2025-11-28,58,4.0,0,0
2025-11-29,39,1.1167,0,0
2025-11-30,26,0.45,0,0
2025-12-01,44,1.7167,0,0
2025-12-02,41,0.95,0,0
2025-12-03,35,0.9667,0,0
2025-12-04,35,1.6167,3,0
2025-12-05,36,0.6333,0,1
2025-12-06,35,1.6167,0,0
2025-12-07,42,2.6833,2,0
2025-12-08,43,0.95,0,0
2025-12-09,53,2.9833,1,0
2025-12-10,30,0.85,0,0
2025-12-11,48,1.2333,3,0
2025-12-12,54,2.4333,0,0
2025-12-13,30,0.7833,0,0
2025-12-14,40,1.8167,2,0
2025-12-15,49,1.5833,0,0
2025-12-16,62,1.1667,2,0
2025-12-17,67,0.5,1,0
2025-12-18,29,0.9333,1,0
2025-12-19,36,1.3167,0,0
2025-12-20,38,1.75,2,0
2025-12-21,52,1.85,1,0
2025-12-22,52,1.6,2,0
2025-12-23,35,1.15,0,0
2025-12-24,44,2.7167,1,0
2025-12-25,59,3.1833,0,0
2025-12-26,29,0.9667,0,1
2025-12-27,37,0.3333,0,1
2025-12-28,40,1.0333,0,0
2025-12-29,29,1.0833,0,0
2025-12-30,38,2.45,1,0
2025-12-31,24,1.1,0,0
2026-01-01,14,0.2167,2,0
2026-01-02,26,1.0167,0,0
2026-01-03,30,2.5,1,0
2026-01-04,35,1.2833,0,0
2026-01-05,39,2.95,1,0
2026-01-06,44,2.0667,0,0
2026-01-07,30,1.6333,1,0
2026-01-08,27,0.75,0,0
2026-01-09,29,0.9667,1,0
2026-01-10,23,0.5667,0,1
2026-01-11,29,0.65,0,0
2026-01-12,18,0.3333,0,0
2026-01-13,29,0.2833,0,0
2026-01-14,17,0.6667,1,0
2026-01-15,23,0.1833,0,0
2026-01-16,41,1.0,0,0
2026-01-17,22,0.5,0,0
2026-01-18,39,1.15,0,0
2026-01-19,39,0.3,0,0
2026-01-20,33,0.4667,0,0
2026-01-21,18,0.35,1,0
2026-01-22,27,0.2833,2,0
2026-01-23,34,1.35,0,0
2026-01-24,28,1.05,0,0
2026-01-25,31,0.6167,0,0
2026-01-26,36,0.5833,0,0
2026-01-27,31,0.6833,0,0
2026-01-28,39,0.75,0,0
2026-01-29,19,0.2333,0,0
2026-01-30,31,0.85,0,0
2026-01-31,36,0.7333,0,0
2026-02-01,26,1.0333,0,1
2026-02-02,23,0.75,1,0
2026-02-03,42,1.5667,1,0
2026-02-04,61,2.55,1,0
2026-02-05,47,1.7,0,0
2026-02-06,36,1.4667,0,0
2026-02-07,25,0.5333,0,0
2026-02-08,19,0.45,0,0
2026-02-09,41,1.3833,0,0
2026-02-10,32,0.8167,0,0
2026-02-11,40,1.0333,0,0
2026-02-12,27,0.7833,0,0
2026-02-13,33,0.7333,0,0
2026-02-14,18,0.6167,0,0
2026-02-15,28,0.25,0,0
2026-02-16,32,0.5167,1,0
2026-02-17,44,1.5833,0,0
2026-02-18,28,0.9333,0,0
2026-02-19,23,0.2167,0,0
2026-02-20,31,0.65,0,0
2026-02-21,19,0.5,0,0
2026-02-22,25,0.3333,0,0
2026-02-23,27,1.1,0,0
2026-02-24,35,1.8167,1,0
2026-02-25,31,1.6833,0,0
2026-02-26,27,0.4667,0,0
2026-02-27,26,0.1833,0,0
2026-02-28,13,0.2167,0,1
